Date,CNY
2024/07/08,1.54375781527394
2024/07/09,1.5447594037228702
2024/07/10,1.5479157314675789
2024/07/11,1.549858962834382
2024/07/12,1.5532532890138395
2024/07/15,1.5545330182813084
2024/07/16,1.5540740050041184
2024/07/17,1.5565898230157373
2024/07/18,1.554943944270809
2024/07/19,1.5508203839831272
2024/07/22,1.5539532570860268
2024/07/23,1.557074568301076
2024/07/24,1.5572928021926682
2024/07/25,1.5481074386562428
2024/07/26,1.5569291130174843
2024/07/29,1.5647248431363343
2024/07/30,1.5687012722167317
2024/07/31,1.5717586407431277
2024/08/01,1.5864202427222973
2024/08/02,1.6022046335758002
2024/08/05,1.6083634901487736
2024/08/06,1.5986954645009672
2024/08/07,1.5968828846092427
2024/08/08,1.60274389755261
2024/08/09,1.6213762241390492
2024/08/12,1.6112400103119362
2024/08/13,1.6095543144103397
2024/08/14,1.6143874206932178
2024/08/15,1.6139444803098772
2024/08/16,1.6165535079211122
2024/08/19,1.629912147735237
2024/08/20,1.6321467626368964
2024/08/21,1.6288501946475984
2024/08/22,1.6306297492091446
2024/08/23,1.6311883206916238
2024/08/26,1.6383773510714987
2024/08/27,1.639236771359255
2024/08/28,1.6414970453053186
2024/08/29,1.6454675596070623
2024/08/30,1.6405814220559767
2024/09/02,1.6332930454382124
2024/09/03,1.6311617133722636
2024/09/04,1.6350555918901242
2024/09/05,1.6357509732718292
2024/09/06,1.6357509732718292
2024/09/09,1.6279751245400969
2024/09/10,1.6393980130496082
2024/09/11,1.6424136911605296
2024/09/12,1.6428723981008397
2024/09/13,1.649729444371123
2024/09/16,1.649729444371123
2024/09/17,1.6661945782028427
2024/09/18,1.6690868425884198
2024/09/19,1.6783592360108757
2024/09/20,1.6777678975890478
2024/09/23,1.6784155756965424
2024/09/24,1.6929067208396817
2024/09/25,1.7017511018838385
2024/09/26,1.6915608031530693
2024/09/27,1.699668564629897
2024/09/30,1.7005935071339897
2024/10/01,1.6852891113470516
2024/10/02,1.6816897618727298
2024/10/03,1.662565671344018
2024/10/04,1.6631740012640122
2024/10/07,1.6386726751331422
2024/10/08,1.6452509830374624
2024/10/09,1.6502467118834265
2024/10/10,1.6492941021242908
2024/10/11,1.6479079808183512
2024/10/14,1.6495661640988422
2024/10/15,1.6510095923657317
2024/10/16,1.656122685568547
2024/10/17,1.652400938563733
2024/10/18,1.6505190882532557
2024/10/21,1.6515003881025911
2024/10/22,1.6452509830374624
2024/10/23,1.6388875231492863
2024/10/24,1.6363398350569447
2024/10/25,1.6400701950043461
2024/10/28,1.6342539630658603
2024/10/29,1.6300981319075407
2024/10/30,1.6270215743060752
2024/10/31,1.6250385946666235
2024/11/01,1.6240621041348622
2024/11/04,1.6226127310194876
2024/11/05,1.6346279586766053
2024/11/06,1.6303107372265153
2024/11/07,1.6246689736966093
2024/11/08,1.6360185851711275
2024/11/11,1.6333197223356473
2024/11/12,1.628823663550184
2024/11/13,1.6207455429497568
2024/11/14,1.6160571437806042
2024/11/15,1.6167887342161
2024/11/18,1.6168671581942826
2024/11/19,1.6184634308187806
2024/11/20,1.6204041287897202
2024/11/21,1.6214025131738954
2024/11/22,1.6221915808256955
2024/11/25,1.6269686320447743
2024/11/26,1.6260426998812987
2024/11/27,1.631907046574627
2024/11/28,1.6297527665053213
2024/11/29,1.629115553166186
2024/12/02,1.6311617133722636
2024/12/03,1.6299387143043422
2024/12/04,1.6329463250542955
2024/12/05,1.6409583196586806
2024/12/06,1.6434393899552984
2024/12/09,1.64168568285916
2024/12/10,1.6380016380016378
2024/12/11,1.638511576084285
2024/12/12,1.6385384237260365
2024/12/13,1.634654679199019
2024/12/16,1.635858007524947
2024/12/17,1.630895687911801
2024/12/18,1.6297527665053213
2024/12/19,1.6196954972465178
2024/12/20,1.6190136968558755
2024/12/23,1.6256461943622589
2024/12/24,1.6260691404598524
2024/12/27,1.63241319642828
2024/12/30,1.6347882949158083
2024/12/31,1.6324398445917268
2025/01/02,1.6298855820321414
2025/01/03,1.626280696048138
2025/01/06,1.6219547799007363
2025/01/07,1.6325730984604836
2025/01/08,1.628346251546929
2025/01/09,1.6282932230436056
2025/01/10,1.6304436437154548
2025/01/13,1.6256990505917543
2025/01/14,1.6273393002441008
2025/01/15,1.6295934164425976
2025/01/16,1.628346251546929
2025/01/17,1.6264923066913892
2025/01/20,1.6274187511188505
2025/01/21,1.627577676144594
2025/01/22,1.6380821334381708
2025/01/23,1.6400701950043461
2025/01/24,1.6555195020197337
2025/01/27,1.654998924250699
2025/01/28,1.649593375233005
2025/01/29,1.6506553101581327
2025/01/30,1.6506825572374177
2025/01/31,1.6276836434070674
2025/02/03,1.6204041287897202
2025/02/04,1.6317206494248184
2025/02/05,1.6445204578344956
2025/02/06,1.6434393899552984
2025/02/07,1.6415778846627378
2025/02/10,1.6344142259414225
2025/02/11,1.6347348460079774
2025/02/12,1.6351090617744204
2025/02/13,1.6379748079474539
2025/02/14,1.6384847293223228
2025/02/17,1.6380553007469532
2025/02/18,1.6376529158410167
2025/02/19,1.6403123154648647
2025/02/20,1.6386458230917968
2025/02/21,1.6421439831844458
2025/02/24,1.6438176019988822
2025/02/25,1.640931392658473
2025/02/26,1.6389681056806633
2025/02/27,1.6348417473188595
2025/02/28,1.6311617133722636
2025/03/03,1.6321467626368964
2025/03/04,1.6248009618821695
2025/03/05,1.6397743670470941
2025/03/06,1.637009511025259
2025/03/07,1.6389412439564042
2025/03/10,1.6408775413090921
2025/03/11,1.639048696136762
2025/03/12,1.6348417473188595
2025/03/13,1.6331063315532472
